url_PI,name,set,url_CM
https://en.play-in.com/rachat/magic/result.php?i=9171,Wooded-Foothills,Battle-for-Zendikar-Expeditions,https://www.cardmarket.com/en/Magic/Products/Singles/Battle-for-Zendikar-Expeditions/Wooded-Foothills
https://en.play-in.com/rachat/magic/result.php?i=9171,Wooded-Foothills,Zendikar-Rising-Expeditions,https://www.cardmarket.com/en/Magic/Products/Singles/Zendikar-Rising-Expeditions/Wooded-Foothills
https://en.play-in.com/rachat/magic/result.php?i=15483,Knight-Exemplar,Magic-2011,https://www.cardmarket.com/en/Magic/Products/Singles/Magic-2011/Knight-Exemplar
https://en.play-in.com/rachat/magic/result.php?i=15483,Knight-Exemplar,Duel-Decks-Knights-Vs-Dragons,https://www.cardmarket.com/en/Magic/Products/Singles/Duel-Decks-Knights-Vs-Dragons/Knight-Exemplar
https://en.play-in.com/rachat/magic/result.php?i=15483,Knight-Exemplar,Resale-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Resale-Promos/Knight-Exemplar
https://en.play-in.com/rachat/magic/result.php?i=5124,Thran-Quarry,Junior-Super-Series-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Junior-Super-Series-Promos/Thran-Quarry
https://en.play-in.com/rachat/magic/result.php?i=5124,Thran-Quarry,The-List,https://www.cardmarket.com/en/Magic/Products/Singles/The-List/Thran-Quarry
https://en.play-in.com/rachat/magic/result.php?i=8871,Sylvan-Safekeeper,Judgment,https://www.cardmarket.com/en/Magic/Products/Singles/Judgment/Sylvan-Safekeeper
https://en.play-in.com/rachat/magic/result.php?i=8871,Sylvan-Safekeeper,Commander-2014,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-2014/Sylvan-Safekeeper
https://en.play-in.com/rachat/magic/result.php?i=8871,Sylvan-Safekeeper,Commander-Anthology,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Anthology/Sylvan-Safekeeper
https://en.play-in.com/rachat/magic/result.php?i=15978,Puresteel-Paladin,New-Phyrexia,https://www.cardmarket.com/en/Magic/Products/Singles/New-Phyrexia/Puresteel-Paladin
https://en.play-in.com/rachat/magic/result.php?i=15978,Puresteel-Paladin,Double-Masters,https://www.cardmarket.com/en/Magic/Products/Singles/Double-Masters/Puresteel-Paladin
